   44162.00000      10.97155      10.98253      11.06086 	      10.97479      10.97446      11.07336      11.06990 	      11.11297      11.09834      10.99428      10.97388 	      11.00166      10.99878      11.01337      11.00709 
   45162.00000      41.46929      41.51079      41.75187 	      41.48718      41.47404      41.76693      41.83196 	      41.88587      41.95204      41.56487      41.47192 	      41.59763      41.61388      41.64891      41.66992 
   46162.00000      23.83308      23.85693      24.01897 	      23.83508      23.83520      24.01807      24.05077 	      24.09806      24.11294      23.84588      23.83308 	      23.84865      23.84920      23.85538      23.86055 
   47162.00000      12.96760      12.98058      13.06708 	      12.97274      12.98369      13.08141      13.08390 	      13.11658      13.11812      13.00060      12.97489 	      13.01261      13.01217      13.02652      13.02616 
   48162.00000       8.96565       8.97462       9.03928 	       8.96782       8.96784       9.05049       9.04519 	       9.08947       9.06974       8.98091       8.96726 	       8.98620       8.98296       8.99565       8.98956 
   49162.00000      13.81127      13.82509      13.91920 	      13.81751      13.82920      13.91844      13.93288 	      13.98611      13.97639      13.85354      13.82072 	      13.85962      13.86350      13.89015      13.88765 
   50162.00000      11.27083      11.28211      11.36096 	      11.27420      11.28450      11.36193      11.37140 	      11.40602      11.40660      11.29305      11.27547 	      11.29804      11.29943      11.31121      11.31399 
   54162.00000       4.97061       4.97559       5.01407 	       4.97113       4.97095       5.01776       5.01732 	       5.04656       5.03007       4.97418       4.97061 	       4.97547       4.97662       4.97843       4.97839 
   55162.00000      23.37328      23.39667      23.55786 	      23.37946      23.37429      23.53332      23.56932 	      23.60549      23.63912      23.41057      23.37328 	      23.41562      23.41532      23.43471      23.43915 
   57162.00000      22.36508      22.38746      22.53512 	      22.37188      22.36604      22.53471      22.55621 	      22.58615      22.60704      22.40287      22.36508 	      22.41661      22.41848      22.43223      22.42841 
   58162.00000      28.90797      28.93690      29.11458 	      28.92068      28.90894      29.12139      29.14984 	      29.16988      29.23471      28.97486      28.90797 	      29.00166      29.00360      29.02295      29.04395 
   60162.00000      22.03886      22.06091      22.19911 	      22.04974      22.03958      22.20975      22.22276 	      22.27475      22.28086      22.10086      22.03886 	      22.12318      22.12174      22.15524      22.15014 
   61162.00000      20.44011      20.46056      20.59942 	      20.44506      20.44105      20.60078      20.61507 	      20.63066      20.66743      20.46763      20.44011 	      20.47899      20.47762      20.48622      20.48900 
   62162.00000      27.58208      27.60967      27.77798 	      27.59597      27.58291      27.78070      27.80842 	      27.87810      27.88093      27.65933      27.58208 	      27.68212      27.68450      27.73117      27.72011 
   63162.00000      22.18591      22.20811      22.37218 	      22.18591      22.18716      22.34098      22.38274 	      22.37288      22.44142      22.18591      22.18591 	      22.18591      22.18591      22.18591      22.18591 
   64162.00000       4.52292       4.52745       4.56284 	       4.52344       4.52320       4.56889       4.56369 	       4.58459       4.57562       4.52678       4.52292 	       4.52820       4.52771       4.53000       4.52948 
   65162.00000      23.45907      23.48254      23.63538 	      23.46700      23.45995      23.62119      23.65369 	      23.71435      23.72105      23.50392      23.45907 	      23.51389      23.51494      23.54538      23.54139 
   66162.00000      23.55866      23.58224      23.74730 	      23.56545      23.55971      23.71545      23.76258 	      23.80259      23.83084      23.60254      23.55866 	      23.60382      23.61316      23.62891      23.63684 
   70162.00000      30.32922      30.35957      30.58286 	      30.32922      30.33111      30.51445      30.58913 	      30.56032      30.66857      30.32922      30.32922 	      30.32922      30.32922      30.32922      30.32922 
   71162.00000       2.56388       2.56644       2.58682 	       2.56399       2.56406       2.59398       2.58727 	       2.60283       2.59377       2.56470       2.56388 	       2.56518       2.56497       2.56556       2.56548 
   72162.00000       5.59574       5.60134       5.64339 	       5.59727       5.59634       5.64795       5.64517 	       5.67398       5.66239       5.60557       5.59601 	       5.60998       5.60823       5.61707       5.61485 
   73162.00000       8.06122       8.06929       8.13002 	       8.06412       8.07005       8.12264       8.13411 	       8.16636       8.16050       8.08292       8.06450 	       8.08333       8.08770       8.09907       8.10063 
   74162.00000       3.02636       3.02939       3.05361 	       3.02675       3.02668       3.05926       3.05339 	       3.07211       3.06194       3.02940       3.02645 	       3.03061       3.02952       3.03227       3.03132 
