 1    1    1   13434.00    6467.82      21.81154      0.071269 	 0.047034	    49.66
 2    2    2    1742.00    1928.76       3.63846      0.066635 	 0.018600	    69.10
 3    3    3    2391.00    1954.68       6.49231      0.069688 	 0.016875	    76.99
 4    4    4    6792.00    1201.12      19.76538      0.072598 	 0.029015	   121.28
 5    5    5     940.00     777.70       6.88077      0.069477 	0.0039702 	    52.42
 6    6    6     986.00    1047.06       4.40385      0.064566 	0.0049479 	    30.82
 7    7    7    3869.00    1333.27       7.77692      0.066515 	 0.022319 	    57.67
 8    8    9    1266.00    1157.71       6.80385      0.062036 	 0.013850	    65.23
 9    9   10    1146.00    1893.86       2.08462      0.065947 	0.0044959	    61.43
10   11   12    6878.00    2458.46      11.41923      0.072986 	 0.041074	   112.81
11   12   14    7142.00    2778.71       4.56538      0.071265 	 0.074297	    51.97
12   13   15     705.00     538.00       4.95385      0.071409 	 0.011090	    34.13
13   16   18    2237.00    2025.70       6.34231      0.066121 	 0.043365	    21.29
14   19   21    3740.00    1993.59      12.06923      0.075961 	 0.021176	    78.19
15   20   22    2014.00    1422.37      16.31538      0.081226 	 0.025164	    51.69
16   22   24    2312.00    1714.51      13.11539      0.074334 	 0.024794	    79.63
17   23   25    1707.00    2331.14       1.33462      0.070165 	 0.027052	    30.99
18   24   26    1171.00     765.00      10.53846      0.073807 	0.0057335	    54.09
19   25   27    1686.00    1486.29       5.83077      0.068094 	0.0092572	    73.60
20   26   28    2674.00    2141.64      15.02692      0.065974 	 0.010513 	   141.56
21   27   29    7474.00    5928.07      10.35769      0.074042 	 0.077648	   109.10
22   28   30    6427.00    2869.78       9.02308      0.077001 	 0.034924	    58.50
23   29   31    1417.00    1891.78       1.85000      0.068676 	0.0077416	    18.38
24   30   33    1098.00     910.47       9.10769      0.072424 	0.0050011	    51.27
25   31   34    2874.00    1303.70      13.38461      0.063090 	 0.020356	    28.53
26   32   36    1539.00     956.42       3.28077      0.076743 	0.0065314	    30.65
27   33   37    2688.00    2195.00       5.35000      0.069537 	 0.017804	    70.63
28   34   39    2411.00    2046.58       1.53200      0.062661   0.018536	    19.15
29   35   40    1574.00    1894.83       8.47692      0.075212 	 0.010230	    25.64
30   36   41    9930.00    6288.73      19.25385      0.073362 	 0.028848	    55.43
31   37   42    2436.00    2668.81      13.56875      0.075905   0.021786	    21.34
32   39   44     975.00     571.73      10.61154      0.074786 	0.0054430 	    21.03
33   40   45    1516.00     800.63      16.26154      0.073943 	 0.028299	   105.52
34   41   46    8783.00    3909.57      15.60769      0.076272 	 0.045033	    71.33
35   42   47    1224.00    1201.96       2.56538      0.076012 	 0.012463	    22.54
36   43   48    1136.00    1019.81       3.91538      0.069148 	 0.030028	    53.15
37   44   49    2399.00    2609.58      24.28077      0.077676 	 0.024075	    76.96
38   45   50    3261.00    2261.39      18.12308      0.077115 	 0.027899	    56.40
39   47   54   31147.00   19435.67      23.31154      0.075417 	  0.10916	    54.48
40   48   55    9148.00    6810.44      15.64615      0.084844 	 0.070623	    63.19
41   49   57    7082.00    4105.80      14.43077      0.077482 	 0.059007	    64.24
42   50   58    5547.00    4389.37       8.45385      0.074793 	 0.041486	    52.21
43   51   60    7358.00    5295.18       9.40000      0.074717 	 0.026070	    24.94
